,,,,,,,,,,
,ACTIVITY,Non-badge activity,AREA,PERIOD 1,PERIOD 2,PERIOD 3,PERIOD 4,PERIOD 5,PERIOD 6,Updated: 2/26/26
,Archaeology,,NATURE,,,y,,,,
,Astronomy,,NATURE,y,,,,,,
,Chemistry,,NATURE,,,,y,,,
,Environmental Science,,NATURE,y,c,,,y,c,
,Geology; Soil and Water Conservation,,NATURE,,,,,y,,
,Fish and Wildlife Management; Forestry,,NATURE,y,,,,,y,
,Nature,,NATURE,,,,y,,,
,Oceanography; Weather,,NATURE,,y,y,,,,
,Space Exploration,,NATURE,,,,,,y,
,Sustainability,,NATURE,,y,,,,,
,Archery,,RANGE AND TARGET,,,,y,y,y,
,Johnny Fry,x,RANGE AND TARGET,,,,,y,,
,Rifle Shooting,,RANGE AND TARGET,y,,y,y,y,,
,Shotgun Shooting,,RANGE AND TARGET,y,y,y,,,,
,Adventure Treck,x,SCOUTCRAFT,,,,,,y,
,Camping,,SCOUTCRAFT,,,,y,y,,
,Exploration,,SCOUTCRAFT,,,,,y,,
,Orienteering,,SCOUTCRAFT,,,,,,y,
,Pioneers Program,x,SCOUTCRAFT,y,c,c,,,,
,Search and Rescue,,SCOUTCRAFT,,,,y,,,
,"Signs, Signals, and Codes",,SCOUTCRAFT,,,,,y,,
,Wilderness Survival,,SCOUTCRAFT,,,,,,y,
,Automotive Maintenance,,TRADES,,,y,y,y,,
,Electronics; Electricity,,TRADES,,y,,,,,
,Farm Mechanics,,TRADES,,,,,y,,
,Painting; Woodwork,,TRADES,,,,,y,y,
,Plumbing,,TRADES,,,y,,,,
,Radio,,TRADES,y,,,,,,
,Welding,,TRADES,y,y,,,,,
,Crime Prevention; Fingerprinting,,TRADES,,,,y,,y,
,Cycling,,TRADES,,,y,,,,
,Golf,,TRADES,y,,,,,,
,Chess,,TRADES,,y,,y,,,
,Beginner Swimmer Instruction,x,TRADES,,,,,y,y,
,Lifesaving,,TRADES,y,c,,,,,
,Non-Swimmer Instruction,x,AQUATICS,,,,,y,y,
,Swimming,,AQUATICS,,y,c,y,c,,
,Swimming or Lifesaving help,x,AQUATICS,,,y,,,,
,Canoeing; Kayaking,,AQUATICS,,y,c,,y,c,
,Fishing,,AQUATICS,y,,,,,,
,Paddleboarding,x,AQUATICS,,,y,,,,
,Climbing,,COPE,y,c,,,,,
,COPE,x,COPE,y,c,c,,,,
,Citizenship in the Community,,EAGLE,y,,,y,,,
,Citizenship in the Nation,,EAGLE,,y,,,y,,
,Citizenship in the World,,EAGLE,,,y,,,y,
,Communication,,EAGLE,y,,,y,,,
,Cooking,,EAGLE,y,c,,,y,c,
,Emergency Preparedness,,EAGLE,,,y,,,y,
,First Aid,,EAGLE,,y,,y,,,
,Personal Fitness,,EAGLE,y,,y,,,,
,Personal Management,,EAGLE,,y,,,y,,
,Art,,HANDICRAFT,,,,y,,y,
,Leatherwork,,HANDICRAFT,y,,,,y,y,
,Metalwork,,HANDICRAFT,y,y,y,,y,,
,Pottery,,HANDICRAFT,,y,y,y,,,
,Wood Carving,,HANDICRAFT,y,y,,,,,
,Drafting,,INNOVATION SCOUTING,,,y,,,,
,Innovation scouts,x,INNOVATION SCOUTING,y,c,,,y,c,
,American Cultures,,MIC-O-SAY,y,,,,,,
,American Indian Culture,,MIC-O-SAY,,y,y,,y,,
,Dance Practice,x,MIC-O-SAY,,,,y,,,